# Nepali (Bikram Sambat) calendar data
# Format: bs_year, new_year_ad_date (yyyy-MM-dd), days_in_month_1 through days_in_month_12
# To add a new year: append a line. To fix a month count: edit that line. Rebuild the JAR.
# Supported range: BS 1970 to BS 2100

1970,1913-04-13,31,31,32,31,31,31,30,29,30,29,30,30
1971,1914-04-13,31,31,32,31,32,30,30,29,30,29,30,30
1972,1915-04-13,31,32,31,32,31,30,30,30,29,29,30,30
1973,1916-04-13,30,32,31,32,31,30,30,30,29,30,29,31
1974,1917-04-13,31,31,32,30,31,31,30,29,30,29,30,30
1975,1918-04-12,31,31,32,32,30,31,30,29,30,29,30,30
1976,1919-04-13,31,32,31,32,31,30,30,30,29,29,30,31
1977,1920-04-13,30,32,31,32,31,31,29,30,29,30,29,31
1978,1921-04-13,31,31,32,31,31,31,30,29,30,29,30,30
1979,1922-04-13,31,31,32,32,31,30,30,29,30,29,30,30
1980,1923-04-13,30,32,31,32,31,30,30,30,29,29,30,31
1981,1924-04-13,31,31,31,32,31,31,29,30,30,29,30,30
1982,1925-04-13,31,31,32,31,31,31,30,29,30,29,30,30
1983,1926-04-13,31,31,32,32,31,30,30,29,30,29,30,30
1984,1927-04-13,31,32,31,32,31,30,30,30,29,29,30,31
1985,1928-04-13,31,31,31,32,31,31,29,30,30,29,30,30
1986,1929-04-13,31,31,32,31,31,31,30,29,30,29,30,30
1987,1930-04-13,31,32,31,32,31,30,30,29,30,29,30,30
1988,1931-04-13,31,32,31,32,31,30,30,30,29,29,30,31
1989,1932-04-13,31,31,31,32,31,31,30,29,30,29,30,30
1990,1933-04-13,30,31,32,31,31,31,30,29,30,29,30,30
1991,1934-04-13,31,32,31,32,31,30,30,29,30,29,30,30
1992,1935-04-13,31,32,31,32,31,30,30,30,29,30,29,30
1993,1936-04-13,31,31,31,32,31,31,30,29,30,29,30,30
1994,1937-04-13,31,31,31,32,31,31,30,29,30,29,30,30
1995,1938-04-13,31,31,31,32,31,31,30,29,30,29,30,30
1996,1939-04-13,31,31,31,32,31,31,30,29,30,29,30,30
1997,1940-04-13,31,31,31,32,31,31,30,29,30,29,30,30
1998,1941-04-13,31,31,31,32,31,31,30,29,30,29,30,30
1999,1942-04-13,31,31,31,32,31,31,30,29,30,29,30,30
2000,1943-04-14,31,32,31,32,31,30,30,30,29,29,29,31
2001,1944-04-13,31,31,32,31,31,31,30,29,30,29,30,30
2002,1945-04-13,31,31,32,32,31,30,30,29,30,29,30,30
2003,1946-04-13,31,32,31,32,31,30,30,30,29,29,30,31
2004,1947-04-14,30,32,31,32,31,30,30,30,29,30,29,31
2005,1948-04-13,31,31,32,31,31,31,30,29,30,29,30,30
2006,1949-04-13,31,31,32,32,31,30,30,29,30,29,30,30
2007,1950-04-13,31,32,31,32,31,30,30,30,29,29,30,31
2008,1951-04-14,31,31,31,32,31,31,29,30,30,29,29,31
2009,1952-04-13,31,31,32,31,31,31,30,29,30,29,30,30
2010,1953-04-13,31,31,32,32,31,30,30,29,30,29,30,30
2011,1954-04-13,31,32,31,32,31,30,30,30,29,29,30,31
2012,1955-04-14,31,31,31,32,31,31,29,30,30,29,30,30
2013,1956-04-13,31,31,32,31,31,31,30,29,30,29,30,30
2014,1957-04-13,31,31,32,32,31,30,30,29,30,29,30,30
2015,1958-04-13,31,32,31,32,31,30,30,30,29,29,30,31
2016,1959-04-14,31,31,31,32,31,31,29,30,30,29,30,30
2017,1960-04-13,31,31,32,31,31,31,30,29,30,29,30,30
2018,1961-04-13,31,32,31,32,31,30,30,29,30,29,30,30
2019,1962-04-13,31,32,31,32,31,30,30,30,29,30,29,31
2020,1963-04-14,31,31,31,32,31,31,30,29,30,29,30,30
2021,1964-04-13,31,31,32,31,31,31,30,29,30,29,30,30
2022,1965-04-13,31,32,31,32,31,30,30,30,29,29,30,30
2023,1966-04-13,31,32,31,32,31,30,30,30,29,30,29,31
2024,1967-04-14,31,31,31,32,31,31,30,29,30,29,30,30
2025,1968-04-13,31,31,32,31,31,31,30,29,30,29,30,30
2026,1969-04-13,31,32,31,32,31,30,30,30,29,29,30,31
2027,1970-04-14,30,32,31,32,31,30,30,30,29,30,29,31
2028,1971-04-14,31,31,32,31,31,31,30,29,30,29,30,30
2029,1972-04-13,31,31,32,31,32,30,30,29,30,29,30,30
2030,1973-04-13,31,32,31,32,31,30,30,30,29,29,30,31
2031,1974-04-14,30,32,31,32,31,30,30,30,29,30,29,31
2032,1975-04-14,31,31,32,31,31,31,30,29,30,29,30,30
2033,1976-04-13,31,31,32,32,31,30,30,29,30,29,30,30
2034,1977-04-13,31,32,31,32,31,30,30,30,29,29,30,31
2035,1978-04-14,30,32,31,32,31,31,29,30,30,29,29,31
2036,1979-04-14,31,31,32,31,31,31,30,29,30,29,30,30
2037,1980-04-13,31,31,32,32,31,30,30,29,30,29,30,30
2038,1981-04-13,31,32,31,32,31,30,30,30,29,29,30,31
2039,1982-04-14,31,31,31,32,31,31,29,30,30,29,30,30
2040,1983-04-14,31,31,32,31,31,31,30,29,30,29,30,30
2041,1984-04-13,31,31,32,32,31,30,30,29,30,29,30,30
2042,1985-04-13,31,32,31,32,31,30,30,30,29,29,30,31
2043,1986-04-14,31,31,31,32,31,31,29,30,30,29,30,30
2044,1987-04-14,31,31,32,31,31,31,30,29,30,29,30,30
2045,1988-04-13,31,32,31,32,31,30,30,29,30,29,30,30
2046,1989-04-13,31,32,31,32,31,30,30,30,29,29,30,31
2047,1990-04-14,31,31,31,32,31,31,30,29,30,29,30,30
2048,1991-04-14,31,31,32,31,31,31,30,29,30,29,30,30
2049,1992-04-13,31,32,31,32,31,30,30,30,29,29,30,30
2050,1993-04-13,31,32,31,32,31,30,30,30,29,30,29,31
2051,1994-04-14,31,31,31,32,31,31,30,29,30,29,30,30
